index,Item Type,Serving Size,Calories,fat,Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),carbs,Dietary Fiber (g),Total Sugars (g),Added Sugars (g),protein,Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg),Table Type,as_of,Drink Type,oz_int,Total Fat_calories,Total Carb_calories,Protein_calories,calc_cals,Total Fat_pct,Total Carb_pct,Protein_pct,cals_match
15,Iced Macchiato with Oatmilk - Large,32 oz.,120.0,3.5,0.5,0.0,0.0,150.0,23.0,3.0,5.0,4.0,2.0,6.0,532.0,352.0,0.0,Iced Macchiato,12-15-2022,iced,32,31.5,92.0,8.0,131.5,23.95,69.96,6.08,False
16,Iced Macchiato with Oatmilk - Medium,24 oz.,90.0,2.5,0.0,0.0,0.0,110.0,17.0,2.0,4.0,3.0,2.0,4.0,406.0,263.0,0.0,Iced Macchiato,12-15-2022,iced,24,22.5,68.0,8.0,98.5,22.84,69.04,8.12,True
0,Iced Macchiato with Oatmilk - Small,16 oz.,60.0,2.0,0.0,0.0,0.0,75.0,12.0,1.0,2.0,2.0,1.0,3.0,289.0,177.0,0.0,Iced Macchiato,12-15-2022,iced,16,18.0,48.0,4.0,70.0,25.71,68.57,5.71,True
1,Iced Macchiato with Skim Milk - Large,32 oz.,90.0,0.0,0.0,0.0,5.0,135.0,14.0,0.0,12.0,0.0,8.0,3.0,525.0,317.0,0.0,Iced Macchiato,12-15-2022,iced,32,0.0,56.0,32.0,88.0,0.0,63.64,36.36,True
2,Iced Macchiato with Skim Milk - Medium,24 oz.,70.0,0.0,0.0,0.0,5.0,100.0,11.0,0.0,9.0,0.0,6.0,2.0,400.0,237.0,0.0,Iced Macchiato,12-15-2022,iced,24,0.0,44.0,24.0,68.0,0.0,64.71,35.29,True
3,Iced Macchiato with Skim Milk - Small,16 oz.,50.0,0.0,0.0,0.0,0.0,70.0,7.0,0.0,6.0,0.0,4.0,1.0,286.0,159.0,0.0,Iced Macchiato,12-15-2022,iced,16,0.0,28.0,16.0,44.0,0.0,63.64,36.36,True
4,Iced Macchiato with Skim Milk and Sugar - Large,32 oz.,230.0,0.0,0.0,0.0,5.0,135.0,49.0,0.0,47.0,35.0,8.0,3.0,526.0,317.0,0.0,Iced Macchiato,12-15-2022,iced,32,0.0,196.0,32.0,228.0,0.0,85.96,14.04,True
5,Iced Macchiato with Skim Milk and Sugar - Medium,24 oz.,170.0,0.0,0.0,0.0,5.0,100.0,37.0,0.0,35.0,26.0,6.0,2.0,401.0,237.0,0.0,Iced Macchiato,12-15-2022,iced,24,0.0,148.0,24.0,172.0,0.0,86.05,13.95,True
6,Iced Macchiato with Skim Milk and Sugar - Small,16 oz.,120.0,0.0,0.0,0.0,0.0,70.0,25.0,0.0,23.0,17.0,4.0,1.0,286.0,159.0,0.0,Iced Macchiato,12-15-2022,iced,16,0.0,100.0,16.0,116.0,0.0,86.21,13.79,True
7,Iced Macchiato with Whole Milk - Large,32 oz.,160.0,8.0,4.5,0.0,25.0,135.0,14.0,0.0,12.0,0.0,8.0,3.0,465.0,294.0,0.0,Iced Macchiato,12-15-2022,iced,32,72.0,56.0,32.0,160.0,45.0,35.0,20.0,True
